loan_type,purpose,occupancy,loan_amount,approve,location,county,race,coapplicant_race,sex,coapplicant_sex,income,units_purchased,married,dependents,years_in_job,s26a,self_employed,monthly_income,coapplicant_income,total_income,total_coapplicant_income,monthly_expense,purchase_price,other_financing,liquid_assets,credit_reports,met_guidlines,credit_lines,mcred,ccred,public_rec,mortgage_income,debt_income,rate_type,loan_term,appraised_value,type_of_property,sought_insurance,denied_mortgage,gift_or_grant,cosigner,unverified_info,reviewed,networth,unemployment_prob,rtdum,age,education,housing_expense,loan_value,high_val,loan_value_medium,loan_value_low,loan_val,no_hs,di_ccred,di_squared,loan_value_squared,credit_history
1,1,1,135,0,1120,1,1,8,1,4,56,1,1,0,10,3,0,4700,0,4700,0,1456,150,0,8,1,0,1,2,4,0,0.31,31,2,360,153,2,1,0,N,0,1,0,42,3.2,1,1,hs,1,0.882352941,0,1,0,medium,0,124,961,0.778546713,0
1,1,1,127,0,1120,1,1,8,1,4,49,1,1,2,8,8,0,2800,0,4400,0,1448,141,0,17,1,0,7,2,3,0,0.32,38.8,1,360,143,2,1,0,N,0,0,0,49,2,0,1,college,1,0.888111888,0,1,0,medium,0,116.4,1505.44,0.788742726,0
1,1,1,82,0,1120,1,1,8,1,4,35,1,0,0,20,20,0,2933,0,2933,0,779,91.5,6.863,3.393,2,0,4,2,6,0,0.2894,38.38,1,360,83,1,0,0,Y,0,0,1,-0.921,3.2,1,1,college,0,0.987951807,1,0,0,high,0,230.28,1473.0244,0.976048773,0
1,1,1,120,0,1120,1,1,3,1,2,38,1,0,2,12,1,0,1141,1628,1141,2017,1054,133,0,12.963,1,0,11,2,6,1,0.3338,39.23,2,360,133,1,0,0,N,0,1,1,17.098,4.3,0,1,hs,1,0.902255639,0,1,0,medium,0,235.38,1538.9929,0.814065238,0
1,1,1,120,0,1120,1,1,3,1,2,49,1,0,0,10,0.5,0,2208,1875,2208,1875,1067,133,0,5,2,0,5,2,6,0,0.26,39,1,360,133,1,0,0,N,0,0,1,18,3.2,1,1,college,0,0.902255639,0,1,0,medium,0,234,1521,0.814065238,0
1,1,1,360,0,1120,1,0,5,1,2,384,1,1,2,25,25,1,15500,8000,15500,8000,3060,575,0,25,2,1,28,1,2,0,0.21,43,1,360,640,1,0,0,N,0,0,1,59,3.2,0,1,college,0,0.5625,0,0,1,low,0,86,1849,0.31640625,2
1,1,1,76,0,1120,1,1,3,1,2,33,1,1,2,10,10,0,2450,227,2450,227,652,80,0,0.9,2,0,12,2,6,1,0.26,40,1,360,143,2,1,1,N,0,0,1,3.7,3.2,1,1,college,0,0.531468531,0,0,1,low,0,240,1600,0.2824588,0
1,1,1,100,0,1120,1,0,8,0,4,47,1,0,0,10,10,0,3931,0,3931,0,1080,125,0,15,0,1,10,2,1,0,0.28,32,2,360,125,1,0,0,N,0,1,1,35,3.2,0,1,college,0,0.8,0,0,1,low,0,32,1024,0.64,1
1,1,1,100,0,1120,1,0,5,1,2,50,1,0,0,25,3,0,3417,738,3417,738,1264,115,0,26,0,0,2,2,2,0,0.304,47.2,2,360,115,1,0,0,N,0,0,1,61,2,0,1,college,1,0.869565217,0,1,0,medium,0,94.4,2227.84,0.756143667,0
1,1,1,99,0,1120,1,1,8,0,4,26,1,0,0,5,3,0,2138,0,2138,0,1015,104,0,33,0,0,1,2,6,0,0.475,47.9,1,360,104,1,0,0,N,0,0,1,-858,2,1,1,college,1,0.951923077,1,0,0,high,0,287.4,2294.41,0.906157544,0
1,1,1,123,0,1120,1,0,7,1,3,180,1,0,0,4,0.083,0,2858,0,2858,0,1279,163,0,16,0,0,4,2,6,0,0.447,58.4,1,360,163,2,0,0,N,1,0,1,-17,3.2,0,1,college,1,0.754601227,0,0,1,low,0,350.4,3410.56,0.569423012,0
1,1,1,80,0,1120,1,1,8,0,4,28,1,0,0,2,2,0,2720,0,2720,0,850,104,0,62,0,0,0,2,4,0,0.3,30,1,999999.4,72,2,0,0,N,0,1,0,74,4.3,0,1,hs,0,1.111111111,1,0,0,high,0,120,900,1.234567901,0
1,1,1,90,0,1120,1,1,8,0,4,32,1,1,4,10,10,0,1213,0,1213,0,942,100,0,10,0,1,8,2,1,0,0.35,40,1,360,115,1,0,0,N,0,0,1,27.5,3.2,1,1,hs,1,0.782608696,0,0,1,low,0,40,1600,0.612476371,1
1,1,1,66,0,1120,1,1,8,1,4,26,1,0,1,19,3,1,2178,0,2178,0,752,96,0,15.1,1,0,2,2,5,1,0.345,35.5,2,300,96,1,0,0,N,0,0,1,29.4,3.2,1,1,college,1,0.6875,0,0,1,low,0,177.5,1260.25,0.47265625,0
1,1,1,84,0,1120,1,1,3,1,2,38,1,1,1,2,2,0,1896,1333,1896,1333,874,90,0,16,1,1,6,2,2,0,0.26,39,2,360,89.9,2,0,0,N,0,0,0,30,3.2,1,1,hs,0,0.934371524,0,1,0,medium,0,78,1521,0.873050145,2
1,1,1,92,0,1120,1,1,3,1,2,43,1,1,0,2,2,0,2730,866,2730,866,726,97,0,5.9,1,1,13,2,1,0,0.2,45,1,360,97,2,0,0,N,0,1,0,9.816,3.2,1,1,no_hs,0,0.948453608,0,1,0,medium,1,45,2025,0.899564247,1
1,1,1,85,0,1120,1,1,3,1,2,43,1,1,3,5,5,0,1250,0,1250,1033,749,90,0,4.95,1,0,9,2,6,1,0.33,43,2,360,107,1,0,0,N,0,1,0,20.363,3.2,1,1,no_hs,1,0.794392523,0,0,1,low,1,258,1849,0.631059481,0
